Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf20_dT0K_2.txt
Date: quarta-feira, 15 de agosto de 2018 @ 13:29:01
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
13:29:01	512.920	309.938	308.662	306.922	309.181	308.176	309.291	307.186	309.171	310.043	309.177	302.692	302.848	303.039	307.746	303.746	303.940	59.994	0.010	-15.020	0.029	0.008	16.012	3.819	-3.041	4.672	4.648	4.677	4.664	2.387	21.082	4.873	4.683	0.191	1.393	-0.228	-0.002	-0.247	-0.003	24.015	0.001	23.937	0.002	0.000	0.001	0.030	0.036
13:29:01	512.927	309.980	308.698	306.921	309.182	308.157	309.285	307.192	309.161	310.000	309.163	302.687	302.829	303.046	307.697	303.723	303.933	59.994	0.010	-15.022	0.029	0.008	15.629	4.161	-3.070	4.672	4.647	4.677	4.664	2.393	21.087	4.872	4.684	0.188	1.401	-0.228	-0.002	-0.247	-0.003	23.995	0.001	24.032	0.001	0.000	0.001	0.030	0.028
13:29:01	512.933	310.023	308.660	306.913	309.166	308.141	309.285	307.184	309.184	309.949	309.164	302.685	302.839	303.050	307.742	303.750	303.947	59.994	0.010	-15.019	0.028	0.007	15.228	4.502	-2.984	4.671	4.648	4.676	4.663	2.389	21.096	4.870	4.684	0.186	1.391	-0.228	-0.002	-0.246	-0.003	24.016	0.001	23.932	0.002	0.000	0.001	0.035	0.039
13:29:01	512.940	310.035	308.770	306.925	309.179	308.182	309.266	307.217	309.183	309.911	309.175	302.686	302.820	303.059	307.740	303.721	303.949	59.994	0.010	-15.021	0.029	0.008	14.798	4.864	-2.849	4.671	4.648	4.677	4.663	2.388	21.089	4.869	4.684	0.185	1.390	-0.228	-0.002	-0.246	-0.003	24.023	0.001	23.944	0.002	0.000	0.001	0.033	0.038
13:29:01	512.947	310.041	308.794	306.880	309.195	308.175	309.265	307.159	309.140	309.832	309.173	302.683	302.848	303.058	307.727	303.735	303.936	59.994	0.010	-15.021	0.030	0.008	14.372	5.237	-2.674	4.671	4.647	4.677	4.663	2.398	21.091	4.868	4.684	0.184	1.391	-0.228	-0.002	-0.248	-0.003	24.289	0.001	23.410	0.299	0.000	0.001	0.017	6.994
13:29:01	512.953	310.097	308.810	306.882	309.187	308.194	309.273	307.160	309.171	309.796	309.165	302.687	302.836	303.049	307.746	303.769	303.945	59.994	0.010	-15.020	0.029	0.008	13.929	5.617	-2.494	4.671	4.648	4.677	4.663	2.386	21.089	4.866	4.684	0.182	1.385	-0.229	-0.002	-0.248	-0.003	24.019	0.001	23.936	0.002	0.000	0.001	0.035	0.040
13:29:01	512.960	310.119	308.822	306.865	309.176	308.198	309.254	307.183	309.168	309.750	309.171	302.683	302.855	303.023	307.744	303.732	303.975	59.994	0.010	-15.023	0.030	0.008	13.479	6.008	-2.314	4.672	4.648	4.677	4.664	2.393	21.087	4.864	4.684	0.180	1.383	-0.230	-0.002	-0.247	-0.003	24.019	0.001	23.942	0.002	0.000	0.001	0.032	0.038
13:29:01	512.967	310.135	308.839	306.861	309.197	308.202	309.254	307.181	309.177	309.699	309.180	302.688	302.858	303.067	307.808	303.712	303.945	59.994	0.010	-15.019	0.028	0.008	13.021	6.405	-2.136	4.672	4.649	4.677	4.664	2.389	21.091	4.864	4.684	0.180	1.385	-0.228	-0.002	-0.246	-0.003	23.579	0.255	23.217	0.237	0.000	0.001	6.009	5.492
13:29:01	512.973	310.176	308.844	306.856	309.147	308.209	309.234	307.174	309.190	309.683	309.177	302.707	302.863	303.022	307.749	303.738	303.942	59.994	0.010	-15.022	0.030	0.008	12.564	6.824	-1.977	4.672	4.649	4.678	4.665	2.388	21.087	4.862	4.684	0.178	1.378	-0.229	-0.002	-0.246	-0.003	24.017	0.001	23.935	0.002	0.000	0.001	0.028	0.039
13:29:01	512.980	310.211	308.878	306.843	309.147	308.203	309.239	307.159	309.177	309.634	309.186	302.694	302.883	303.063	307.745	303.729	303.960	59.994	0.010	-15.022	0.029	0.008	12.103	7.239	-1.844	4.673	4.649	4.678	4.665	2.399	21.093	4.861	4.684	0.177	1.377	-0.228	-0.002	-0.247	-0.004	24.001	0.001	24.010	0.002	0.000	0.001	0.031	0.043
