Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf30_dT6K.txt
Date: quarta-feira, 15 de agosto de 2018 @ 15:33:28
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
15:33:28	7194.860	309.761	303.087	305.904	303.235	302.266	303.365	305.770	309.253	310.034	309.197	303.276	303.667	304.010	306.002	304.025	303.911	60.016	0.010	-15.019	-0.040	0.077	0.168	29.622	10.633	4.778	4.751	4.711	4.701	2.440	31.535	5.020	4.674	0.346	3.356	23.342	0.278	23.891	0.002	-0.239	-0.004	-0.242	-0.004	6.491	0.039	0.001	0.001
15:33:28	7194.867	309.750	303.108	305.861	303.215	302.269	303.373	305.777	309.175	309.995	309.189	303.275	303.514	304.017	305.886	304.049	303.907	60.016	0.010	-15.020	-0.041	0.080	0.185	29.640	10.583	4.783	4.753	4.712	4.703	2.443	31.531	5.017	4.673	0.344	3.343	23.968	0.002	23.941	0.002	-0.239	-0.004	-0.243	-0.004	0.043	0.036	0.001	0.001
15:33:28	7194.873	309.725	303.117	305.870	303.194	302.278	303.391	305.778	309.199	310.019	309.186	303.285	303.705	304.019	305.890	304.033	303.888	60.016	0.010	-15.019	-0.042	0.080	0.210	29.658	10.498	4.785	4.756	4.714	4.705	2.445	31.535	5.015	4.674	0.342	3.331	23.984	0.002	23.441	0.316	-0.237	-0.004	-0.242	-0.004	0.043	7.401	0.001	0.001
15:33:28	7194.880	309.795	303.098	305.865	303.214	302.323	303.355	305.777	309.187	310.008	309.173	303.369	303.696	304.021	305.888	304.050	303.916	60.016	0.010	-15.021	-0.044	0.082	0.241	29.682	10.391	4.787	4.758	4.714	4.706	2.440	31.533	5.013	4.674	0.339	3.322	23.958	0.002	23.939	0.003	-0.238	-0.004	-0.242	-0.004	0.041	0.062	0.001	0.001
15:33:28	7194.887	309.708	303.068	305.848	303.192	302.333	303.379	305.779	309.197	309.947	309.190	303.288	303.702	304.024	305.905	304.039	303.880	60.016	0.010	-15.021	-0.045	0.081	0.277	29.703	10.270	4.788	4.760	4.714	4.707	2.448	31.531	5.012	4.674	0.338	3.311	23.960	0.002	23.944	0.002	-0.239	-0.003	-0.242	-0.004	0.041	0.045	0.001	0.001
15:33:28	7194.893	309.694	303.149	305.885	303.216	302.358	303.374	305.776	309.202	310.012	309.189	303.307	303.739	304.028	305.894	304.038	303.905	60.016	0.010	-15.018	-0.045	0.082	0.336	29.731	10.137	4.788	4.760	4.714	4.706	2.440	31.533	5.009	4.674	0.335	3.302	23.807	0.066	23.255	0.255	-0.238	-0.003	-0.243	-0.004	1.581	5.929	0.001	0.001
15:33:28	7194.900	309.644	303.073	305.827	303.195	302.377	303.363	305.799	309.200	310.011	309.192	303.255	303.774	304.005	305.892	304.018	303.864	60.016	0.010	-15.022	-0.047	0.083	0.365	29.756	9.988	4.788	4.761	4.714	4.705	2.443	31.535	5.007	4.674	0.333	3.291	23.964	0.002	23.944	0.002	-0.237	-0.004	-0.243	-0.004	0.042	0.041	0.001	0.001
15:33:28	7194.907	309.630	303.068	305.829	303.204	302.420	303.369	305.814	309.203	309.996	309.205	303.289	303.774	304.036	305.901	304.015	303.904	60.016	0.010	-15.019	-0.047	0.083	0.424	29.763	9.815	4.787	4.759	4.712	4.703	2.445	31.535	5.007	4.673	0.334	3.272	23.907	0.002	24.001	0.002	-0.237	-0.003	-0.243	-0.004	0.042	0.038	0.001	0.001
15:33:28	7194.913	309.617	303.052	305.808	303.205	302.472	303.378	305.799	309.206	310.004	309.167	303.289	303.837	304.026	305.940	304.053	303.873	60.016	0.010	-15.020	-0.049	0.083	0.502	29.770	9.610	4.786	4.758	4.709	4.702	2.439	31.535	5.004	4.673	0.330	3.264	23.411	0.293	23.887	0.002	-0.238	-0.004	-0.243	-0.004	6.857	0.042	0.001	0.001
15:33:28	7194.920	309.607	303.055	305.778	303.197	302.511	303.373	305.794	309.197	310.002	309.183	303.278	303.863	304.016	305.900	303.943	303.881	60.016	0.010	-15.020	-0.049	0.084	0.597	29.756	9.369	4.785	4.756	4.707	4.700	2.447	31.529	5.003	4.674	0.329	3.253	23.963	0.002	23.942	0.002	-0.239	-0.003	-0.243	-0.004	0.041	0.040	0.001	0.001
