Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf40_dT9K_2.txt
Date: quarta-feira, 15 de agosto de 2018 @ 16:56:45
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
16:56:45	12191.760	309.590	300.493	304.497	300.153	299.919	300.234	304.584	309.158	309.108	309.169	302.945	303.563	303.373	304.660	303.408	303.502	60.063	0.012	-15.021	0.086	-0.038	37.096	2.187	0.128	4.872	4.836	4.921	4.910	2.478	41.865	5.341	4.787	0.553	3.754	-0.229	-0.002	-0.246	-0.004	24.035	0.001	23.959	0.002	0.000	0.001	0.033	0.038
16:56:45	12191.767	309.736	300.504	304.501	300.154	299.885	300.228	304.583	309.160	309.139	309.168	303.009	303.540	303.343	304.665	303.375	303.519	60.063	0.012	-15.021	0.086	-0.038	36.537	2.599	0.145	4.871	4.833	4.919	4.908	2.486	41.876	5.339	4.786	0.553	3.760	-0.229	-0.002	-0.246	-0.003	23.584	0.093	23.377	0.271	0.000	0.001	2.195	6.343
16:56:45	12191.773	309.834	300.434	304.499	300.195	299.905	300.204	304.585	309.177	309.124	309.164	302.964	303.539	303.375	304.657	303.377	303.638	60.063	0.012	-15.020	0.086	-0.039	35.903	3.042	0.122	4.868	4.831	4.917	4.907	2.477	41.897	5.339	4.787	0.552	3.760	-0.229	-0.002	-0.246	-0.003	24.027	0.001	23.949	0.002	0.000	0.001	0.033	0.036
16:56:45	12191.780	309.759	300.491	304.549	300.140	299.921	300.197	304.595	309.167	309.137	309.166	302.965	303.531	303.354	304.632	303.361	303.458	60.063	0.012	-15.022	0.086	-0.038	35.238	3.510	0.037	4.866	4.829	4.915	4.904	2.480	41.914	5.336	4.787	0.548	3.777	-0.229	-0.002	-0.246	-0.004	24.031	0.001	23.979	0.002	0.000	0.001	0.034	0.038
16:56:45	12191.787	309.800	300.540	304.566	300.151	299.905	300.172	304.611	309.148	309.140	309.164	302.955	303.496	303.341	304.627	303.382	303.499	60.063	0.012	-15.019	0.087	-0.039	34.520	4.034	-0.123	4.864	4.828	4.914	4.904	2.479	41.932	5.335	4.786	0.548	3.775	-0.229	-0.002	-0.246	-0.003	23.478	0.234	23.962	0.002	0.000	0.001	5.490	0.041
16:56:45	12191.793	309.824	300.512	304.601	300.153	299.926	300.205	304.579	309.163	309.140	309.155	302.968	303.466	303.366	304.656	303.374	303.501	60.063	0.012	-15.021	0.087	-0.039	33.789	4.569	-0.402	4.863	4.826	4.913	4.902	2.476	41.939	5.331	4.787	0.544	3.781	-0.228	-0.002	-0.247	-0.004	24.035	0.001	23.961	0.002	0.000	0.001	0.029	0.042
16:56:45	12191.800	309.830	300.538	304.610	300.162	299.920	300.233	304.578	309.179	309.149	309.158	302.963	303.437	303.364	304.661	303.366	303.519	60.063	0.012	-15.021	0.087	-0.039	33.004	5.160	-0.814	4.862	4.824	4.912	4.901	2.483	41.955	5.332	4.787	0.545	3.791	-0.229	-0.002	-0.246	-0.003	23.979	0.001	24.307	0.001	0.000	0.001	0.030	0.024
16:56:45	12191.807	309.872	300.515	304.658	300.161	299.897	300.225	304.567	309.139	309.140	309.186	302.747	303.408	303.358	304.624	303.362	303.518	60.063	0.012	-15.018	0.086	-0.039	32.191	5.769	-1.267	4.861	4.824	4.911	4.900	2.477	41.964	5.330	4.788	0.542	3.791	-0.228	-0.002	-0.246	-0.004	24.029	0.001	23.944	0.002	0.000	0.001	0.032	0.038
16:56:45	12191.813	309.869	300.523	304.678	300.184	299.911	300.216	304.592	309.158	309.146	309.167	302.970	303.353	303.310	304.617	303.368	303.521	60.063	0.012	-15.022	0.086	-0.039	31.347	6.423	-1.762	4.860	4.824	4.910	4.899	2.481	41.973	5.328	4.788	0.540	3.797	-0.229	-0.002	-0.247	-0.003	24.040	0.001	23.960	0.002	0.000	0.001	0.034	0.038
16:56:45	12191.820	309.855	300.520	304.722	300.179	299.884	300.241	304.571	309.147	309.167	309.152	302.950	303.336	303.361	304.640	303.373	303.522	60.063	0.012	-15.019	0.086	-0.038	30.467	7.105	-2.267	4.861	4.825	4.910	4.899	2.481	41.984	5.327	4.789	0.539	3.801	-0.229	-0.002	-0.246	-0.003	24.605	0.002	23.388	0.277	0.000	0.001	0.056	6.489
16:56:45	12191.827	309.908	300.516	304.772	300.184	299.905	300.237	304.571	309.160	309.170	309.131	302.912	303.325	303.351	304.735	303.357	303.498	60.063	0.012	-15.020	0.086	-0.038	29.559	7.858	-2.728	4.861	4.824	4.910	4.899	2.478	41.991	5.326	4.788	0.538	3.803	-0.230	-0.002	-0.247	-0.003	24.032	0.002	23.951	0.002	0.000	0.001	0.037	0.036
