Data File:  G:\Meu Drive\Integrated Design\Bancada para o Controle\Henrique\Testes Passivos\REG_CVHS_passivo\01_11_2019\Transient\20191031_LaFeSi_CVHS_mf20_dT3K_Th303_Fb0p5_f0p75_cycle_10_35_27.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: sexta-feira, 1 de novembro de 2019 @ 10:35:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control Test Apparatus - Experimentos iniciais - POLO-UFSC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Run Time [s],T Reg Hot [�C],T Reg Cold [�C],T CHEX in [�C],T CHEX out [�C],T HHEX in [�C],T HHEX out [�C],T amb left [�C],T amb door [�C],T amb right [�C],T cab down [�C] ,T cab middle [�C],T cab up [�C],Torque [Nm],Displacement [%], MFR - HB [kg/h], MFR - CB [kg/h],HighFlow [L/h],LowFlow [L/h],P Hot in [bar],P Cold in [bar],P Cold out [bar] ,P Hot out [bar],P sys in [bar],P sys out [bar],dp Cold [bar],dp Hot [bar],dp System [bar],Field [V],V_VHB_high [V],I_VHB_high [A],V_VHB_low [V],I_VHB_low [A],V_VCB_high [V],I_VCB_high [A],V_VCB_low [V],I_VCB_low [A],f AMR [Hz],Vazao setada [kg/h],FB [%],W pump [W],W motor [W],W VHB High [W],W VHB Low [W],W VCB High [W],W VCB Low [W]
2435.76000,30.45064,27.77020,27.57852,30.27549,30.60795,27.72051,25.44206,25.87426,27.92203,26.37796,26.37001,26.34311,-0.23764,0.23352,19.93199,0.42075,21.46375,2.21029,1.90057,1.88078,1.87518,1.86360,2.04771,1.87008,0.00560,0.03697,0.17763,2.70662,0.00797,-0.00235,-0.01177,-0.00405,24.46358,0.00017,24.36098,0.00111,0.75000,1.53000,50.00000,0.11390,-0.56211,1.67665,1.63310,1.44534,1.58553
2435.76667,30.46181,27.78336,27.57321,30.16973,30.60638,27.73182,25.46024,25.90632,27.92827,26.38226,26.34925,26.37075,-0.23764,0.23352,19.90736,0.40668,21.47273,2.21141,1.89615,1.88189,1.87269,1.86249,2.05517,1.86980,0.00919,0.03366,0.18537,2.70690,0.00704,-0.00239,-0.01084,-0.00425,24.40759,0.00093,24.32258,0.00111,0.75000,1.53000,50.00000,0.11389,-0.56211,1.67665,1.63310,1.44533,1.58552
2435.77333,30.46981,27.79605,27.58018,30.29068,30.61896,27.72842,25.46676,25.93211,27.92312,26.37059,26.35183,26.33796,-0.23732,0.22855,19.88273,0.36446,21.46824,2.20499,1.89504,1.88493,1.87352,1.86636,2.05849,1.87063,0.01141,0.02869,0.18785,2.70566,0.00797,-0.00243,-0.00992,-0.00385,24.34511,0.00113,24.26521,0.00135,0.75000,1.53000,50.00000,0.11389,-0.56211,1.67665,1.63310,1.44533,1.58553
2435.78000,30.44943,27.79948,27.57310,30.28837,30.58756,27.72173,25.48471,25.89697,27.92079,26.37636,26.34739,26.34864,-0.23732,0.23850,19.86162,0.34335,21.46599,2.22144,1.89201,1.88769,1.87242,1.86912,2.06097,1.87091,0.01527,0.02289,0.19006,2.70718,0.00750,-0.00239,-0.01038,-0.00385,23.85457,0.27420,23.75304,0.30454,0.75000,1.53000,50.00000,0.11389,-0.56211,1.67665,1.63310,1.45185,1.59273
2435.78667,30.46315,27.78434,27.59746,30.26285,30.60517,27.73879,25.45015,25.90717,27.93425,26.37170,26.39480,26.39322,-0.23700,0.23104,19.83699,0.32576,21.46599,2.20499,1.88704,1.88797,1.86745,1.86774,2.06387,1.87063,0.02052,0.01930,0.19324,2.70602,0.00797,-0.00255,-0.01038,-0.00385,24.38861,0.00101,24.29991,0.00123,0.75000,1.53000,50.00000,0.11389,-0.56211,1.67665,1.63310,1.44523,1.58807
2435.79333,30.46228,27.65084,27.57579,30.31111,30.59922,27.75196,25.47968,25.87413,27.92214,26.35130,26.34912,26.33243,-0.23764,0.23104,19.82291,0.30113,21.46599,2.21141,1.88290,1.88935,1.86442,1.86857,2.06595,1.87091,0.02493,0.01433,0.19504,2.70686,0.00704,-0.00235,-0.00992,-0.00409,24.40203,0.00109,24.31934,0.00115,0.75000,1.53000,50.00000,0.11388,-0.56211,1.67665,1.63310,1.44524,1.58807
2435.80000,30.46108,27.80362,27.57947,30.28338,30.60601,27.73159,25.47931,25.91708,27.93854,26.37919,26.34089,26.34373,-0.23700,0.22855,19.78773,0.28354,21.46375,2.21252,1.87904,1.89184,1.86221,1.86995,2.06967,1.87063,0.02963,0.00908,0.19904,2.70646,0.00843,-0.00243,-0.01084,-0.00393,23.71111,0.20328,23.72806,0.24719,0.75000,1.53000,50.00000,0.11388,-0.56210,1.67665,1.63310,1.45003,1.59391
2435.80667,30.45114,27.80729,27.56980,30.27914,30.61335,27.73317,25.44523,25.90520,27.92557,26.36924,26.35268,26.35134,-0.23668,0.23104,19.77717,0.26595,21.46824,2.20527,1.87462,1.89239,1.85835,1.87078,2.06967,1.87119,0.03405,0.00384,0.19849,2.70542,0.00750,-0.00251,-0.01038,-0.00389,24.34743,0.00089,24.26475,0.00127,0.75000,1.53000,50.00000,0.11388,-0.56210,1.67665,1.63310,1.44496,1.58780
2435.81333,30.55448,27.80638,27.56124,30.28083,30.61632,27.71257,25.46811,25.90324,27.91616,26.38889,26.34272,26.32383,-0.23668,0.23352,19.77013,0.25188,21.47273,2.22088,1.87075,1.89405,1.85614,1.87189,2.07175,1.87091,0.03791,-0.00113,0.20084,2.70730,0.00750,-0.00231,-0.01084,-0.00385,24.39556,0.00121,24.30639,0.00139,0.75000,1.53000,50.00000,0.11388,-0.56210,1.67665,1.63310,1.44497,1.58780
2435.82000,30.46620,27.79999,27.58044,30.27479,30.61752,27.70439,25.48520,25.89955,27.92116,26.38066,26.37145,26.35870,-0.23700,0.23104,19.75606,0.25891,21.46599,2.20444,1.86799,1.89571,1.85476,1.87354,2.07465,1.87119,0.04095,-0.00555,0.20346,2.70618,0.00797,-0.00251,-0.01038,-0.00389,24.37195,0.00101,24.30222,0.00111,0.75000,1.53000,50.00000,0.11388,-0.56210,1.67665,1.63310,1.44498,1.58780
2435.82667,30.46205,27.78020,27.56589,30.29541,30.60203,27.73586,25.48865,25.88826,27.93449,26.37465,26.35966,26.35540,-0.23636,0.23104,19.74902,0.23780,21.46824,2.21057,1.86496,1.89515,1.85172,1.87271,2.08004,1.87119,0.04343,-0.00776,0.20885,2.70650,0.00750,-0.00251,-0.01084,-0.00381,24.39787,0.00097,24.31287,0.00123,0.75000,1.53000,50.00000,0.11388,-0.56209,1.67665,1.63310,1.44498,1.58780
2435.83333,30.46690,27.80981,27.57984,30.26916,30.61160,27.72331,25.48422,25.91049,27.92703,26.36862,26.35342,26.34422,-0.23700,0.24098,19.75958,0.22021,21.46151,2.21224,1.86027,1.89515,1.84786,1.87216,2.08335,1.87202,0.04729,-0.01190,0.21133,2.70694,0.00843,-0.00247,-0.01084,-0.00397,23.88697,0.28101,23.78681,0.30987,0.75000,1.53000,50.00000,0.11387,-0.56209,1.67665,1.63310,1.45167,1.59514
2435.84000,30.35564,27.80227,27.56124,30.27536,30.60116,27.70583,25.47992,25.90239,27.93976,26.37083,26.34397,26.35479,-0.23700,0.23104,19.75958,0.21318,21.46824,2.20583,1.85723,1.89405,1.84427,1.87244,2.08625,1.87229,0.04978,-0.01521,0.21396,2.70554,0.00658,-0.00247,-0.01038,-0.00389,24.34835,0.00105,24.26567,0.00111,0.75000,1.53000,50.00000,0.11387,-0.56209,1.67665,1.63310,1.44487,1.59513
2435.84667,30.46155,27.81325,27.56184,30.29906,30.60722,27.71755,25.47697,25.91330,27.92557,26.36457,26.33893,26.34139,-0.23668,0.23104,19.77365,0.20262,21.46599,2.22256,1.85309,1.89322,1.84096,1.87161,2.08874,1.87174,0.05226,-0.01852,0.21700,2.70770,0.00750,-0.00239,-0.01084,-0.00389,24.37751,0.00093,24.29297,0.00111,0.75000,1.53000,50.00000,0.11387,-0.56208,1.67665,1.63310,1.44487,1.59513
2435.85333,30.45054,27.80655,27.57640,30.32399,30.61996,27.74098,25.47684,25.90138,27.90037,26.35646,26.34580,26.33047,-0.23700,0.23104,19.78069,0.19559,21.47048,2.20694,1.85143,1.89267,1.83820,1.86995,2.09081,1.87229,0.05446,-0.01852,0.21852,2.70610,0.00658,-0.00251,-0.01131,-0.00401,23.72222,0.22086,23.76553,0.25500,0.75000,1.53000,50.00000,0.11387,-0.56208,1.67665,1.63310,1.45009,1.60116
2435.86000,30.44967,27.82788,27.55648,30.31583,30.61899,27.71230,25.48508,25.92794,27.90968,26.38595,26.35071,26.35109,-0.23700,0.23601,19.79476,0.18855,21.46599,2.21336,1.84978,1.89211,1.83600,1.87078,2.09205,1.87257,0.05612,-0.02100,0.21948,2.70630,0.00750,-0.00243,-0.01084,-0.00365,24.39185,0.00081,24.30824,0.00127,0.75000,1.53000,50.00000,0.11387,-0.56208,1.67665,1.63310,1.44472,1.59485
2435.86667,30.46881,27.80897,27.56552,30.32860,30.57761,27.69876,25.47107,25.91540,27.92666,26.37624,26.33303,26.34459,-0.23732,0.23352,19.79828,0.17448,21.46375,2.21503,1.84784,1.89211,1.83627,1.87050,2.09288,1.87229,0.05584,-0.02266,0.22059,2.70690,0.00750,-0.00239,-0.00992,-0.00397,24.41407,0.00097,24.32860,0.00103,0.75000,1.53000,50.00000,0.11386,-0.56208,1.67665,1.63310,1.44473,1.59484
2435.87333,30.44642,27.77825,27.58702,30.34087,30.60685,27.70974,25.47266,25.90263,27.92655,26.37489,26.33683,26.34790,-0.23764,0.23352,19.81588,0.18151,21.46824,2.20834,1.84702,1.89211,1.83489,1.87106,2.09371,1.87257,0.05722,-0.02404,0.22114,2.70546,0.00843,-0.00243,-0.01084,-0.00385,24.34882,0.00113,24.26752,0.00127,0.75000,1.53000,50.00000,0.11386,-0.56207,1.67665,1.63310,1.44473,1.59485
2435.88000,30.45465,27.78861,27.55331,30.35837,30.60785,27.70704,25.48434,25.91208,27.92655,26.37489,26.44426,26.34287,-0.23732,0.23601,19.83347,0.17799,21.46375,2.22479,1.84536,1.89184,1.83351,1.87023,2.09288,1.87285,0.05833,-0.02487,0.22004,2.70734,0.00750,-0.00259,-0.01084,-0.00377,24.38028,0.00089,24.29528,0.00107,0.75000,1.53000,50.00000,0.11386,-0.56207,1.67665,1.63310,1.44473,1.59484
